Episode,Episode_Return,Average Reward (past 100)
409,228.0,252.11
410,220.0,250.15
411,231.0,250.79
412,240.0,249.82
413,271.0,250.11
414,205.0,249.48
415,28.0,246.51
416,208.0,246.39
417,264.0,244.61
418,230.0,243.74
419,224.0,243.58
420,276.0,242.69
421,197.0,241.92
422,228.0,241.07
423,198.0,240.62
424,183.0,240.02
425,197.0,238.6
426,227.0,238.18
427,251.0,237.73
428,245.0,238.13
429,197.0,236.48
430,238.0,236.31
431,188.0,235.7
432,259.0,234.83
433,251.0,235.09
434,380.0,233.89
435,251.0,234.25
436,363.0,235.59
437,244.0,235.34
438,246.0,235.12
439,293.0,234.78
440,179.0,233.81
441,317.0,233.42
442,230.0,233.49
443,333.0,234.46
444,232.0,232.66
445,181.0,230.41
446,224.0,230.53
447,227.0,230.19
448,231.0,229.75
449,232.0,228.84
450,226.0,227.62
451,47.0,225.27
452,250.0,225.75
453,230.0,225.67
454,341.0,226.4
455,221.0,225.36
456,257.0,225.08
457,249.0,225.58
458,227.0,225.34
459,244.0,224.85
460,220.0,223.89
461,250.0,224.58
462,211.0,223.87
463,304.0,224.29
464,225.0,224.01
465,241.0,224.24
466,500.0,226.69
467,226.0,226.73
468,224.0,225.98
469,240.0,226.26
470,217.0,226.4
471,215.0,225.37
472,206.0,225.55
473,255.0,226.26
474,284.0,227.02
475,189.0,226.33
476,217.0,226.48
477,282.0,227.52
478,214.0,227.76
479,305.0,228.73
480,382.0,230.5
481,254.0,231.02
482,201.0,231.05
483,283.0,231.9
484,191.0,230.52
485,217.0,230.52
486,314.0,231.86
487,280.0,232.49
488,246.0,232.7
489,235.0,233.95
490,181.0,233.48
491,222.0,233.58
492,216.0,233.82
493,245.0,234.0
494,305.0,234.35
495,230.0,234.48
496,233.0,234.66
497,219.0,234.95
498,296.0,236.11
499,274.0,236.96
500,153.0,236.67
501,291.0,237.41
502,184.0,237.32
503,282.0,237.87
504,192.0,239.21
505,188.0,238.64
506,310.0,240.79
507,331.0,241.7
508,323.0,242.42
509,378.0,243.92
510,317.0,244.89
511,190.0,244.48
512,280.0,244.88
513,264.0,244.81
514,178.0,244.54
515,158.0,245.84
516,372.0,247.48
517,197.0,246.81
518,214.0,246.65
519,244.0,246.85
520,156.0,245.65
521,211.0,245.79
522,241.0,245.92
523,185.0,245.79
524,186.0,245.82
525,195.0,245.8
526,168.0,245.21
527,193.0,244.63
528,179.0,243.97
529,184.0,243.84
530,176.0,243.22
531,203.0,243.37
532,166.0,242.44
533,159.0,241.52
534,162.0,239.34
535,154.0,238.37
536,170.0,236.44
537,179.0,235.79
538,189.0,235.22
539,172.0,234.01
540,189.0,234.11
541,168.0,232.62
542,183.0,232.15
543,178.0,230.6
544,195.0,230.23
545,180.0,230.22
546,178.0,229.76
547,233.0,229.82
548,183.0,229.34
549,226.0,229.28
550,193.0,228.95
551,312.0,231.6
552,195.0,231.05
553,205.0,230.8
554,171.0,229.1
555,187.0,228.76
556,180.0,227.99
557,206.0,227.56
558,190.0,227.19
559,219.0,226.94
560,181.0,226.55
561,194.0,225.99
562,193.0,225.81
563,194.0,224.71
564,237.0,224.83
565,201.0,224.43
566,179.0,221.22
567,156.0,220.52
568,183.0,220.11
569,178.0,219.49
570,189.0,219.21
571,207.0,219.13
572,207.0,219.14
573,208.0,218.67
574,205.0,217.88
575,174.0,217.73
576,247.0,218.03
577,452.0,219.73
578,203.0,219.62
579,217.0,218.74
580,204.0,216.96
581,204.0,216.46
582,188.0,216.33
583,193.0,215.43
584,187.0,215.39
585,209.0,215.31
586,197.0,214.14
587,185.0,213.19
588,179.0,212.52
589,185.0,212.02
590,175.0,211.96
591,181.0,211.55
592,188.0,211.27
593,184.0,210.66
594,183.0,209.44
595,186.0,209.0
596,168.0,208.35
597,167.0,207.83
598,198.0,206.85
599,163.0,205.74
600,197.0,206.18
601,188.0,205.15
602,202.0,205.33
603,206.0,204.57
604,201.0,204.66
605,243.0,205.21
606,196.0,204.07
607,188.0,202.64
608,263.0,202.04
609,190.0,200.16
610,270.0,199.69
611,179.0,199.58
612,222.0,199.0
613,185.0,198.21
614,212.0,198.55
615,183.0,198.8
616,191.0,196.99
617,304.0,198.06
618,184.0,197.76
619,227.0,197.59
620,188.0,197.91
621,215.0,197.95
622,349.0,199.03
623,241.0,199.59
624,193.0,199.66
625,239.0,200.1
626,243.0,200.85
627,389.0,202.81
628,298.0,204.0
629,261.0,204.77
630,274.0,205.75
631,187.0,205.59
632,197.0,205.9
633,254.0,206.85
634,465.0,209.88
635,246.0,210.8
636,327.0,212.37
637,395.0,214.53
638,207.0,214.71
639,202.0,215.01
640,182.0,214.94
641,412.0,217.38
642,274.0,218.29
643,217.0,218.68
644,272.0,219.45
645,271.0,220.36
646,210.0,220.68
647,218.0,220.53
648,250.0,221.2
649,200.0,220.94
650,191.0,220.92
651,200.0,219.8
652,211.0,219.96
653,249.0,220.4
654,206.0,220.75
655,428.0,223.16
656,253.0,223.89
657,220.0,224.03
658,359.0,225.72
659,208.0,225.61
660,413.0,227.93
661,235.0,228.34
662,232.0,228.73
663,351.0,230.3
664,320.0,231.13
665,222.0,231.34
666,248.0,232.03
667,239.0,232.86
668,249.0,233.52
669,295.0,234.69
670,188.0,234.68
671,149.0,234.1
672,266.0,234.69
673,259.0,235.2
674,207.0,235.22
675,316.0,236.64
676,312.0,237.29
677,235.0,235.12
678,375.0,236.84
679,316.0,237.83
680,232.0,238.11
681,382.0,239.89
682,241.0,240.42
683,330.0,241.79
684,331.0,243.23
685,271.0,243.85
686,223.0,244.11
687,262.0,244.88
688,352.0,246.61
689,295.0,247.71
690,393.0,249.89
691,243.0,250.51
692,296.0,251.59
693,330.0,253.05
694,302.0,254.24
695,186.0,254.24
696,235.0,254.91
697,290.0,256.14
698,227.0,256.43
699,196.0,256.76
700,254.0,257.33
701,237.0,257.82
702,219.0,257.99
703,247.0,258.4
704,190.0,258.29
705,205.0,257.91
706,489.0,260.84
707,251.0,261.47
708,220.0,261.04
709,221.0,261.35
710,231.0,260.96
711,248.0,261.65
712,210.0,261.53
713,213.0,261.81
714,209.0,261.78
715,252.0,262.47
716,195.0,262.51
717,276.0,262.23
718,197.0,262.36
719,195.0,262.04
720,206.0,262.22
721,249.0,262.56
722,182.0,260.89
723,216.0,260.64
724,322.0,261.93
725,207.0,261.61
726,258.0,261.76
727,188.0,259.75
728,208.0,258.85
729,182.0,258.06
730,185.0,257.17
731,194.0,257.24
732,223.0,257.5
733,206.0,257.02
734,195.0,254.32
735,215.0,254.01
736,201.0,252.75
737,206.0,250.86
738,201.0,250.8
739,197.0,250.75
740,188.0,250.81
741,196.0,248.65
742,191.0,247.82
743,191.0,247.56
744,202.0,246.86
745,200.0,246.15
746,219.0,246.24
747,221.0,246.27
748,225.0,246.02
749,203.0,246.05
750,232.0,246.46
751,209.0,246.55
752,227.0,246.71
753,223.0,246.45
754,206.0,246.45
755,200.0,244.17
756,224.0,243.88
757,223.0,243.91
758,218.0,242.5
759,217.0,242.59
760,252.0,240.98
761,212.0,240.75
762,201.0,240.44
763,200.0,238.93
764,191.0,237.64
765,190.0,237.32
766,157.0,236.41
767,180.0,235.82
768,186.0,235.19
769,224.0,234.48
770,219.0,234.79
771,192.0,235.22
772,179.0,234.35
773,182.0,233.58
774,168.0,233.19
775,197.0,232.0
776,187.0,230.75
777,206.0,230.46
778,188.0,228.59
779,158.0,227.01
780,178.0,226.47
781,212.0,224.77
782,221.0,224.57
783,213.0,223.4
784,217.0,222.26
785,186.0,221.41
786,215.0,221.33
787,195.0,220.66
788,207.0,219.21
789,198.0,218.24
790,195.0,216.26
791,195.0,215.78
792,187.0,214.69
793,195.0,213.34
794,187.0,212.19
795,198.0,212.31
796,177.0,211.73
797,174.0,210.57
798,175.0,210.05
799,186.0,209.95
800,189.0,209.3
801,184.0,208.77
802,178.0,208.36
803,209.0,207.98
804,201.0,208.09
805,193.0,207.97
806,178.0,204.86
807,182.0,204.17
808,204.0,204.01
809,209.0,203.89
810,191.0,203.49
811,176.0,202.77
812,191.0,202.58
813,178.0,202.23
814,187.0,202.01
815,173.0,201.22
816,206.0,201.33
817,182.0,200.39
818,181.0,200.23
819,184.0,200.12
820,208.0,200.14
821,184.0,199.49
822,176.0,199.43
823,195.0,199.22
824,181.0,197.81
825,184.0,197.58
826,177.0,196.77
827,178.0,196.67
828,167.0,196.26
829,188.0,196.32
830,182.0,196.29
831,176.0,196.11
832,161.0,195.49
833,172.0,195.15
834,165.0,194.85
835,167.0,194.37
836,162.0,193.98
837,160.0,193.52
838,168.0,193.19
839,179.0,193.01
840,165.0,192.78
841,186.0,192.68
842,169.0,192.46
843,158.0,192.13
844,158.0,191.69
845,172.0,191.41
846,178.0,191.0
847,176.0,190.55
848,171.0,190.01
849,164.0,189.62
850,178.0,189.08
851,183.0,188.82
852,189.0,188.44
853,173.0,187.94
854,166.0,187.54
855,161.0,187.15
856,159.0,186.5
857,163.0,185.9
858,188.0,185.6
859,201.0,185.44
860,169.0,184.61
861,195.0,184.44
862,166.0,184.09
863,162.0,183.71
864,169.0,183.49
865,10.0,181.69
866,171.0,181.83
867,165.0,181.68
868,172.0,181.54
869,170.0,181.0
870,166.0,180.47
871,170.0,180.25
872,162.0,180.08
873,168.0,179.94
874,171.0,179.97
875,177.0,179.77
876,163.0,179.53
877,181.0,179.28
878,181.0,179.21
879,178.0,179.41
880,170.0,179.33
881,166.0,178.87
882,167.0,178.33
883,176.0,177.96
884,184.0,177.63
885,189.0,177.66
886,178.0,177.29
887,183.0,177.17
888,171.0,176.81
889,167.0,176.5
890,174.0,176.29
891,169.0,176.03
892,182.0,175.98
893,182.0,175.85
894,172.0,175.7
895,176.0,175.48
896,181.0,175.52
897,183.0,175.61
898,188.0,175.74
899,184.0,175.72
900,205.0,175.88
901,185.0,175.89
902,189.0,176.0
903,185.0,175.76
904,190.0,175.65
905,173.0,175.45
906,178.0,175.45
907,179.0,175.42
908,186.0,175.24
909,175.0,174.9
910,189.0,174.88
911,177.0,174.89
912,182.0,174.8
913,194.0,174.96
914,195.0,175.04
915,192.0,175.23
916,183.0,175.0
917,178.0,174.96
918,186.0,175.01
919,174.0,174.91
920,193.0,174.76
921,192.0,174.84
922,184.0,174.92
923,172.0,174.69
924,186.0,174.74
925,182.0,174.72
926,176.0,174.71
927,177.0,174.7
928,186.0,174.89
929,180.0,174.81
930,172.0,174.71
931,180.0,174.75
932,195.0,175.09
933,198.0,175.35
934,175.0,175.45
935,190.0,175.68
936,185.0,175.91
937,193.0,176.24
938,185.0,176.41
939,223.0,176.85
940,208.0,177.28
941,183.0,177.25
942,208.0,177.64
943,191.0,177.97
944,207.0,178.46
945,190.0,178.64
946,177.0,178.63
947,187.0,178.74
948,165.0,178.68
949,181.0,178.85
950,192.0,178.99
951,206.0,179.22
952,201.0,179.34
953,188.0,179.49
954,184.0,179.67
955,210.0,180.16
956,190.0,180.47
957,181.0,180.65
958,180.0,180.57
959,187.0,180.43
960,169.0,180.43
961,188.0,180.36
962,175.0,180.45
963,191.0,180.74
964,206.0,181.11
965,169.0,182.7
966,198.0,182.97
